Latitude,Longitude,pH,EC,Avail-P,Exch-K,Avail-Ca,Avail-Mg,Avail-Zn,Avail-Fe,Avail-Cu,Avail-Mn,Crop_Label
14.12,77.64,8.82,0.8,6.75,106,2108,655,0.29,5.24,0.74,1.83,G.Nut
14.12,77.65,6.5,0.05,4.19,108,517,98,0.32,4.74,0.45,5.84,G.Nut
14.13,77.65,8.78,0.5,3.69,123,2244,607,0.31,5.39,0.84,1.82,G.Nut
14.13,77.65,8.81,0.52,4.01,129,2619,702,0.35,7.25,0.97,1.92,G.Nut
14.12,77.65,8.07,0.5,28.68,140,2129,355,2.85,2.33,0.52,4.47,G.Nut
14.12,77.65,8.25,0.24,6.31,116,2894,566,0.46,16.77,1.17,4.12,G.Nut
14.12,77.65,8.0,0.65,13.32,89,1740,201,0.51,2.88,0.4,8.17,G.Nut
14.12,77.65,8.32,0.15,9.39,145,3009,466,0.3,11.14,1.17,3.65,G.Nut
14.12,77.65,8.44,0.07,3.51,37,831,130,0.13,3.1,0.2,6.99,G.Nut
14.12,77.65,8.22,1.32,4.74,82,4097,1135,0.4,9.41,1.13,1.84,G.Nut
14.12,77.65,8.35,0.53,5.15,114,3283,354,0.5,27.92,1.87,7.33,G.Nut
14.12,77.64,8.19,1.61,132.06,193,3104,1179,0.67,19.59,1.73,9.52,G.Nut
14.12,77.65,8.15,0.07,10.31,83,489,63,0.44,6.94,0.55,14.91,G.Nut
14.12,77.65,6.0,0.08,3.54,43,536,114,0.19,6.59,0.47,11.16,G.Nut
14.11,77.65,8.63,0.17,2.35,57,3544,133,0.1,0.79,0.51,1.8,G.Nut
14.12,77.65,7.28,0.08,6.99,53,608,109,0.86,3.99,0.52,10.34,G.Nut
14.12,77.65,8.57,0.22,2.51,54,3030,118,0.12,0.97,0.55,2.45,G.Nut
14.12,77.64,8.21,0.12,7.72,60,926,79,1.2,2.75,0.4,7.82,G.Nut
14.11,77.65,8.32,0.1,2.48,114,3142,105,0.16,3.21,0.87,6.7,G.Nut
14.12,77.64,8.21,0.36,14.95,94,2992,84,1.13,2.81,0.55,9.52,G.Nut
14.12,77.64,8.2,0.12,15.16,183,1167,148,0.47,1.91,0.33,3.48,G.Nut
14.12,77.65,7.95,0.09,4.66,43,820,123,0.2,1.45,0.24,3.75,G.Nut
14.12,77.65,5.62,0.04,4.39,70,295,78,0.49,8.61,0.54,8.11,G.Nut
14.11,77.65,5.86,0.03,5.31,44,451,67,0.27,8.34,0.38,7.05,G.Nut
14.12,77.65,5.55,0.05,9.05,64,243,24,0.49,7.98,0.31,5.31,G.Nut
14.12,77.65,6.18,0.04,3.13,50,930,124,0.23,7.0,0.39,10.49,G.Nut
14.12,77.65,6.85,0.04,4.65,58,788,63,0.2,4.03,0.36,7.46,G.Nut
14.12,77.64,8.35,0.09,8.34,68,1498,190,0.27,2.53,0.52,4.17,G.Nut
14.12,77.64,8.4,0.15,11.41,206,2882,305,0.36,2.52,0.43,4.69,G.Nut
14.12,77.64,8.56,0.14,11.54,122,3000,532,0.43,7.85,0.89,2.08,G.Nut
14.12,77.64,8.5,0.14,3.56,67,2678,455,0.24,3.06,0.71,2.35,G.Nut
14.09,77.69,6.0,0.08,4.73,80,657,84,0.26,13.15,0.92,14.97,Horsegram
14.08,77.69,7.88,0.2,2.33,54,2052,92,0.15,3.95,0.35,3.42,G.Nut
14.08,77.69,6.6,0.2,2.56,66,1050,239,0.41,5.79,0.47,27.19,Horsegram
14.08,77.69,6.16,0.12,1.51,62,939,357,0.24,11.47,1.31,14.53,G.Nut
14.08,77.6,8.2,0.23,2.61,50,3486,144,0.23,1.73,0.84,4.94,G.Nut
14.09,77.7,8.34,0.14,3.24,60,1528,96,0.27,2.34,0.54,2.3,G.Nut
14.08,77.6,6.02,0.05,1.28,27,727,157,0.14,6.65,0.31,16.95,G.Nut
14.09,77.7,7.82,0.22,3.38,63,2322,161,0.31,2.27,1.09,9.11,Horsegram
14.09,77.7,8.37,0.14,2.14,44,1650,63,0.14,1.49,0.4,3.66,Horsegram
14.08,77.69,8.62,0.19,2.0,65,3913,335,0.17,1.26,0.6,2.85,G.Nut
14.08,77.69,8.2,0.13,3.99,50,1382,104,0.18,2.09,0.46,2.67,Horsegram
14.09,77.69,8.28,0.15,1.36,23,2474,52,0.11,2.01,0.33,1.63,G.Nut
14.09,77.69,8.04,0.23,1.39,55,3003,187,0.14,2.93,0.49,6.1,Horsegram
14.09,77.69,7.27,0.3,1.18,56,1911,164,0.2,6.6,0.8,16.86,G.Nut
14.09,77.7,8.22,0.22,1.73,61,3204,202,0.26,2.66,0.66,6.66,Horsegram
14.09,77.69,7.33,0.27,3.13,53,2277,90,0.28,7.3,0.61,13.57,Horsegram
14.09,77.7,8.3,0.17,9.22,68,1964,59,0.46,3.19,0.53,6.69,Horsegram
14.09,77.69,5.8,0.06,6.04,43,462,38,0.22,9.72,0.42,13.9,G.Nut
14.09,77.69,7.28,0.12,13.05,62,705,65,0.45,4.4,0.44,8.16,G.Nut
14.09,77.7,6.37,0.1,1.58,60,742,268,0.29,4.02,0.7,9.92,Horsegram
14.09,77.69,6.3,0.09,1.38,69,655,240,0.24,4.49,0.56,8.19,G.Nut
14.08,77.69,8.54,0.15,2.02,49,3182,117,0.15,2.66,0.36,1.84,Horsegram
14.08,77.69,8.77,0.24,3.48,80,2964,157,0.23,2.89,0.61,4.28,G.Nut
14.08,77.69,8.48,0.18,1.66,29,3458,123,0.13,0.85,1.1,3.22,G.Nut
14.08,77.69,8.44,0.22,10.47,84,3151,167,0.21,2.21,0.78,8.64,Horsegram
14.09,77.7,6.55,0.11,1.42,62,766,290,0.4,4.82,0.76,10.21,Horsegram
14.08,77.69,5.35,0.1,7.03,41,676,88,0.3,15.81,0.65,16.98,Horsegram
14.08,77.69,8.42,0.16,1.56,87,2785,136,0.17,2.52,0.57,3.77,G.Nut
14.08,77.69,8.75,0.17,6.0,70,1145,154,0.34,8.94,0.56,3.19,G.Nut
14.09,77.69,8.8,0.24,3.84,61,2933,165,0.5,2.0,0.65,3.54,G.Nut
14.09,77.69,8.08,0.14,2.14,52,1069,70,0.13,1.68,0.45,8.18,G.Nut
14.09,77.69,7.91,0.12,2.49,26,1184,94,0.13,2.46,0.32,5.0,G.Nut
14.09,77.69,6.07,0.05,1.58,43,799,189,0.15,1.51,0.88,4.35,G.Nut
14.08,77.69,8.38,0.18,1.87,95,3371,194,0.24,7.87,0.47,18.04,G.Nut
14.09,77.69,8.0,0.2,5.33,68,1432,67,0.26,2.54,0.46,4.56,G.Nut
14.08,77.6,8.43,0.19,2.04,37,2630,86,0.16,1.16,1.15,3.65,G.Nut
14.08,77.69,8.3,0.16,1.27,55,2776,158,0.16,1.67,0.94,4.11,G.Nut
14.08,77.69,8.5,0.2,1.58,56,2548,150,0.15,1.38,0.47,8.08,G.Nut
14.1,77.7,6.55,0.09,2.46,35,865,86,0.36,9.21,0.69,17.83,G.Nut
14.06,77.55,8.65,0.16,6.62,94,2298,373,0.18,7.82,0.5,3.48,jowar
14.06,77.55,8.7,0.24,17.71,188,1057,283,0.16,2.86,0.52,7.98,cotton
14.06,77.54,6.52,0.06,8.95,102,371,71,0.42,5.92,0.5,9.54,G.Nut
14.06,77.54,8.05,1.45,23.79,282,2113,412,4.7,6.46,0.74,8.92,Unknown
14.06,77.55,8.37,0.16,15.45,178,1586,460,0.56,4.56,0.92,9.3,G.Nut
14.06,77.55,8.76,0.11,13.78,176,2209,419,0.24,4.1,0.58,3.92,Unknown
14.06,77.54,5.53,0.07,14.71,59,446,81,0.18,16.5,0.76,22.0,Unknown
14.55,77.55,8.73,0.36,25.12,207,2695,503,0.54,10.31,1.92,4.59,G.Nut
14.53,77.54,8.61,0.2,3.47,125,2057,256,0.55,5.29,0.67,10.45,GROUND NUT
14.54,77.55,8.32,0.14,2.34,116,939,165,0.19,8.02,1.05,12.62,SUNFLOWER
14.53,77.54,5.95,0.05,11.11,63,268,19,0.39,14.84,0.35,9.98,GROUND NUT
14.54,77.54,8.15,0.11,4.27,140,2469,254,0.37,4.17,0.66,6.5,PADDY
14.54,77.53,7.0,0.04,1.31,90,1404,140,0.27,11.95,1.53,21.7,TAMATO
14.54,77.53,6.23,0.04,2.92,74,358,66,0.47,17.64,0.59,17.53,Unknown
14.53,77.54,7.43,0.1,2.59,85,1328,144,0.26,5.9,0.62,7.64,GROUND NUT
14.53,77.53,8.68,0.62,10.64,29,2709,327,3.39,3.18,0.57,7.49,GROUND NUT
14.54,77.53,6.65,0.06,1.38,140,962,204,0.21,8.1,0.24,17.1,PADDY
14.54,77.54,8.21,0.08,6.15,28,1624,60,0.42,3.24,0.74,10.27,GROUND NUT
14.53,77.53,7.0,0.13,1.71,131,709,130,0.61,7.93,0.25,16.82,GROUND NUT
14.53,77.54,6.27,0.09,21.06,126,1046,157,0.59,22.67,1.74,22.35,GROUND NUT
14.54,77.54,8.05,0.13,3.08,130,2723,322,0.32,6.56,0.91,8.96,TAMATO
14.53,77.54,7.43,0.11,1.95,66,1057,103,0.32,3.71,0.45,12.29,GROUND NUT
14.54,77.54,7.72,0.07,12.31,96,652,39,1.03,3.08,0.4,4.11,GROUND NUT
14.53,77.54,8.25,0.08,6.87,129,2928,185,0.39,2.54,0.65,4.48,GROUND NUT
14.54,77.53,6.85,0.07,2.25,85,726,92,0.31,8.11,0.71,16.43,GROUND NUT
14.53,77.54,8.75,0.16,5.47,95,2308,156,0.6,11.08,0.6,10.71,GROUND NUT
14.53,77.54,8.8,0.24,7.05,107,1443,294,1.63,4.83,0.66,11.55,GROUND NUT
14.53,77.53,8.35,0.07,2.49,76,2449,37,0.17,2.01,0.52,2.95,TAMATO
14.53,77.53,8.28,0.07,1.66,69,1977,83,0.19,1.61,0.55,2.95,GROUND NUT
14.47,77.57,8.6,0.16,9.59,98,1159,310,0.34,3.26,0.82,7.34,Unknown
14.47,77.58,8.49,0.15,12.82,130,2223,369,0.64,7.94,1.96,4.58,Unknown
14.46,77.58,8.51,0.12,6.76,70,839,238,0.3,3.18,0.94,6.98,Unknown
14.48,77.58,8.54,0.07,4.36,75,2698,59,0.08,4.22,0.66,5.72,Unknown
14.47,77.58,6.84,0.05,4.83,95,924,265,0.32,8.1,2.38,20.58,Unknown
14.47,77.58,8.52,0.18,7.97,100,1715,286,0.34,9.74,1.18,8.8,Unknown
14.47,77.58,7.74,0.09,12.96,123,1162,261,0.42,2.02,0.7,6.4,Unknown
14.46,77.58,8.47,0.18,10.95,210,1118,247,0.52,5.28,0.76,7.36,Unknown
14.46,77.59,8.05,0.11,7.09,80,690,202,0.58,2.24,0.4,7.44,Unknown
14.46,77.58,8.65,0.13,13.4,106,1403,345,0.38,2.8,0.98,6.9,Unknown
14.48,77.58,7.35,0.06,7.27,154,1177,204,0.36,4.94,0.78,9.74,Unknown
14.46,77.58,6.02,0.03,5.25,78,269,51,0.4,9.16,0.98,20.6,Unknown
14.46,77.59,8.65,0.17,15.31,69,1149,297,0.22,0.8,0.4,4.24,Unknown
14.46,77.58,6.6,0.05,3.34,130,2111,537,0.22,9.22,1.22,16.64,Unknown
14.48,77.58,8.23,0.11,7.44,119,2194,497,0.18,5.04,1.78,4.54,Unknown
14.47,77.58,8.16,0.21,9.33,149,3220,619,0.64,18.06,3.06,4.64,Unknown
14.48,77.58,6.86,0.05,5.02,81,486,245,0.4,7.04,1.68,21.58,Unknown
14.45,77.58,8.16,0.16,13.84,144,2270,545,0.42,12.48,1.64,11.0,Unknown
14.46,77.58,6.16,0.09,14.78,105,447,133,0.32,8.2,1.1,8.46,Unknown
14.47,77.58,8.63,0.2,13.72,258,1167,219,0.46,2.08,0.66,3.72,Unknown
14.47,77.58,7.9,0.05,6.54,93,701,66,0.3,4.68,0.4,5.56,Unknown
14.45,77.57,7.79,0.08,9.86,125,696,193,1.0,3.04,0.98,10.34,Unknown
14.45,77.57,8.4,1.03,20.36,137,2248,589,0.4,9.04,1.06,3.88,Unknown
14.46,77.58,8.57,0.18,11.21,117,1866,310,0.38,9.1,1.06,3.84,Unknown
14.48,77.58,8.33,0.98,27.61,166,2254,663,1.52,12.24,1.24,5.72,Unknown
14.47,77.58,8.82,0.5,26.25,188,2960,445,2.0,6.44,0.86,4.44,Unknown
14.47,77.58,8.58,0.82,89.47,259,2465,430,0.86,7.94,0.8,8.08,Unknown
14.47,77.57,8.3,0.12,31.38,194,2183,510,2.24,7.16,1.82,7.2,Unknown
14.47,77.58,8.61,0.21,17.88,144,2794,735,0.36,18.4,1.36,4.3,Unknown
14.46,77.58,8.62,0.4,13.27,110,2148,481,0.32,16.06,1.24,4.72,Unknown
14.48,77.58,7.9,2.32,39.84,272,2561,568,1.9,13.64,2.2,18.88,Unknown
14.47,77.58,8.0,0.34,19.96,100,1263,294,0.94,6.12,1.08,9.0,Unknown
14.47,77.58,8.79,0.27,8.03,97,1302,320,16.34,5.2,1.04,9.64,Unknown
14.47,77.58,8.7,0.39,8.2,82,1640,337,0.72,9.6,0.98,6.74,Unknown
14.46,77.58,8.38,0.09,10.02,130,2111,157,0.26,4.7,0.62,5.28,Unknown
14.46,77.59,8.26,0.14,11.43,133,1902,338,0.7,2.76,0.9,9.9,Unknown
14.46,77.58,8.48,0.41,11.66,188,2405,613,0.38,11.74,1.36,13.52,Unknown
14.48,77.58,8.42,0.39,17.06,120,1822,364,0.26,6.32,0.76,5.62,Unknown
14.46,77.58,7.8,0.05,8.16,71,816,98,0.2,4.06,0.42,7.42,Unknown
14.46,77.59,8.49,0.13,8.74,86,1106,339,0.42,9.22,0.82,6.02,Unknown
14.46,77.58,8.79,0.21,12.77,194,2516,453,0.44,4.44,4.06,9.68,Unknown
14.48,77.58,8.81,0.76,32.6,135,1400,367,0.66,2.7,0.72,5.48,Unknown
14.48,77.58,8.65,0.41,12.57,149,2472,647,0.9,8.1,1.34,4.08,Unknown
14.47,77.58,6.8,0.05,11.09,102,684,143,0.42,7.16,0.82,11.28,Unknown
14.47,77.58,6.62,0.07,8.71,71,679,174,0.2,7.52,0.66,11.5,Unknown
14.52,77.65,5.89,0.04,11.61,50,803,109,0.2,15.1,0.86,19.08,Unknown
14.53,77.65,8.27,0.09,5.16,61,1414,184,0.18,2.54,0.46,7.28,Unknown
14.53,77.65,7.98,0.1,5.49,69,1265,178,0.24,2.8,0.48,10.16,Unknown
14.05,77.65,8.14,0.18,9.62,86,1683,233,0.7,1.24,0.44,7.82,Unknown
14.53,77.65,8.05,0.23,38.28,428,2791,465,0.66,3.56,0.88,6.86,Unknown
14.52,77.65,5.67,0.03,15.3,61,284,21,0.36,32.72,0.58,9.8,Unknown
14.52,77.65,6.2,0.04,18.64,59,416,84,0.4,9.02,0.36,14.0,Unknown
14.53,77.65,5.83,0.05,13.66,67,396,46,0.72,14.24,1.0,21.04,Unknown
14.52,77.65,7.56,0.06,8.88,74,821,177,0.28,2.4,0.36,6.14,Unknown
14.52,77.65,8.18,0.24,25.49,263,3259,713,0.42,13.94,2.1,9.1,Unknown
14.53,77.65,8.0,0.11,7.92,94,1745,191,0.3,5.34,0.9,14.92,Unknown
14.52,77.65,8.52,0.19,10.03,102,1180,318,0.34,4.06,0.8,10.22,Unknown
14.53,77.65,8.25,0.16,10.5,110,1840,373,0.62,3.56,0.66,14.18,Unknown
14.58,77.61,7.17,0.06,8.66,69,673,94,0.5,5.0,0.66,10.18,Unknown
14.56,77.6,6.88,0.11,4.2,56,1628,244,0.14,7.96,1.54,17.58,Unknown
14.56,77.61,8.25,0.21,10.58,120,3118,166,0.28,2.26,0.56,7.6,Unknown
14.57,77.61,8.53,0.14,11.03,104,2288,413,0.38,7.5,0.9,7.98,Unknown
14.57,77.6,6.35,0.06,3.74,97,1696,553,0.48,14.12,2.26,4.92,Unknown
14.58,77.61,7.9,0.08,5.59,78,1192,108,0.38,3.2,0.6,8.86,Unknown
14.45,77.57,8.6,0.2,5.45,87,3010,418,0.22,3.14,1.18,9.74,Unknown
14.45,77.57,7.91,0.09,5.97,92,865,243,0.3,5.5,1.68,16.26,Unknown
14.46,77.58,6.23,0.05,5.28,96,696,160,0.26,11.22,1.86,18.06,Unknown
14.48,77.58,7.82,0.1,22.68,201,891,172,0.52,5.92,0.72,7.7,Unknown
14.47,77.58,6.64,0.06,8.67,76,1111,294,0.44,16.64,2.04,23.92,Unknown
14.47,77.58,5.93,0.03,6.06,85,833,213,0.08,3.96,0.78,5.68,Unknown
14.58,77.6,6.31,0.06,5.74,61,533,143,0.4,7.22,0.66,18.94,Unknown
14.56,77.6,8.13,0.07,10.76,95,1394,187,0.42,3.0,0.6,8.34,Unknown
14.56,77.61,7.99,0.15,7.64,63,1673,338,0.48,3.38,1.16,18.76,Unknown
14.57,77.61,8.34,0.12,8.74,127,2229,203,0.2,5.28,0.78,5.86,Unknown
14.57,77.6,7.14,0.06,7.84,86,636,90,0.36,4.18,0.78,10.16,Unknown
14.57,77.6,8.41,0.09,6.42,73,2416,96,0.3,2.7,0.44,4.24,Unknown
14.56,77.61,7.52,0.06,10.19,92,796,76,0.52,2.42,0.62,6.28,Unknown
14.57,77.6,8.1,0.06,6.69,80,1276,101,0.48,3.18,0.66,7.56,Unknown
14.57,77.61,7.95,0.08,11.0,81,1121,128,0.4,3.3,0.78,10.76,Unknown
14.56,77.61,8.42,0.32,57.62,124,1403,277,1.08,3.58,0.46,11.06,Unknown
14.58,77.61,8.31,0.08,9.24,95,1413,86,0.28,1.66,0.28,4.68,Unknown
14.58,77.61,5.55,0.03,8.49,44,336,43,0.12,15.5,0.48,13.62,Unknown
14.57,77.61,7.62,0.11,9.14,66,1528,133,0.52,4.48,0.68,9.52,Unknown
14.56,77.6,7.86,0.06,11.33,68,1141,98,0.2,3.82,0.5,6.26,Unknown
14.58,77.6,8.53,0.11,6.77,79,2600,220,0.16,5.12,0.68,4.1,Unknown
14.58,77.62,7.18,0.06,10.35,85,793,117,0.5,4.52,0.72,7.88,Unknown
14.58,77.61,6.16,0.07,7.19,53,480,122,0.34,10.18,0.58,17.88,Unknown
14.56,77.61,8.21,0.11,4.56,103,3748,295,0.16,4.36,0.92,5.96,Unknown
14.57,77.61,7.64,0.22,4.86,126,3453,348,0.22,6.64,1.5,14.18,Unknown
14.58,77.61,8.4,0.09,5.57,77,3022,59,0.16,4.2,0.6,6.62,Unknown
14.57,77.61,8.03,0.1,9.25,80,1904,230,0.38,3.3,1.06,8.4,Unknown
14.58,77.6,6.95,0.07,19.7,86,680,139,0.56,9.6,0.66,11.94,Unknown
12.91,78.35,7.25,0.23,47.2,123,718,222,1.94,6.61,0.69,19.54,Tomato
12.9,78.35,7.46,1.99,53.6,134,1673,410,1.09,40.66,1.95,6.06,Tomato
12.9,78.35,7.2,0.69,49.6,244,1303,167,0.05,0.08,0.1,0.05,Sweetcorn
12.9,78.35,7.88,0.8,9.8,197,1160,300,4.64,9.39,1.7,22.5,Tomato
12.91,78.36,7.26,0.18,4.0,45,746,185,1.73,7.61,0.69,19.59,Mulberry
12.9,78.35,7.43,1.46,39.6,149,1572,478,1.55,2.3,0.71,5.36,Potatao
12.9,78.34,7.83,0.39,11.2,68,2513,409,0.51,11.02,1.15,13.57,Tomato
12.9,78.35,7.32,0.18,50.0,121,657,212,1.71,5.86,0.63,16.75,Tomato
12.91,78.36,8.0,1.08,54.0,89,937,267,1.54,7.83,1.18,5.78,Cabage
12.91,78.35,5.92,0.58,67.4,319,500,152,0.53,10.4,0.47,23.0,Tomato
12.9,78.35,8.19,0.57,24.0,93,2254,384,1.37,38.4,1.77,5.09,Tomato
12.91,78.36,8.06,0.15,5.2,57,2499,150,0.27,3.76,0.72,8.33,Groundnut
12.9,78.35,8.14,0.49,25.0,83,1006,211,1.38,2.33,0.48,3.36,Groundnut
12.9,78.35,5.6,0.11,13.2,103,357,114,0.76,38.52,1.17,21.74,Groundnut
12.9,78.36,7.53,0.83,64.4,270,1528,306,1.98,16.17,0.88,6.01,Potatao
12.91,78.36,7.93,0.28,29.4,136,1824,378,1.0,7.11,0.98,5.86,Sweetcorn
12.91,78.36,8.19,0.24,7.2,105,1955,368,0.99,10.37,1.13,10.37,Groundnut
12.91,78.35,6.15,0.64,53.2,168,734,208,1.42,9.61,0.73,23.98,Potato
12.9,78.36,7.34,0.22,22.2,92,1108,244,0.96,14.03,0.84,6.13,Potato
12.9,78.35,7.7,0.26,37.2,155,1057,285,2.11,3.95,0.94,13.18,Cabage
12.9,78.35,7.18,0.19,2.6,65,1100,302,12.72,12.45,0.65,23.29,Paddy
12.91,78.35,8.07,0.82,65.4,120,1512,368,2.91,3.91,1.04,13.16,Tomato
12.91,78.35,7.78,0.21,32.6,123,1206,335,1.57,8.75,0.97,22.26,Groundnut
12.9,78.35,7.89,0.26,10.4,171,2185,298,0.71,11.8,1.46,19.27,Groundnut
12.91,78.35,7.33,0.56,87.2,370,1176,391,3.09,8.69,1.25,12.83,Groundnut
12.92,78.35,6.23,0.06,2.4,49,804,189,0.32,12.44,0.8,18.17,Tomato
12.9,78.36,7.14,1.99,3.4,57,823,180,0.82,11.48,1.09,11.94,Potato
12.91,78.35,7.33,0.18,8.2,40,1222,296,0.86,56.79,2.12,5.22,Groundnut
12.9,78.35,7.91,0.24,40.0,102,1692,392,1.54,3.85,0.96,6.71,Tomato
12.91,78.36,7.28,1.34,65.6,303,1654,444,2.94,7.4,1.23,17.35,Sweetcorn
12.9,78.35,7.42,0.29,110.0,132,837,277,3.22,5.87,1.02,17.45,Groundnut
12.88,78.44,7.99,0.24,88.8,260,2524,459,1.94,24.42,1.74,17.48,Tomato
12.93,78.35,8.44,0.25,68.2,46,1510,424,1.38,5.4,1.47,6.99,Potato
12.93,78.35,7.98,0.55,75.0,94,2123,458,1.56,7.92,1.4,3.87,Tomato
12.93,78.36,8.1,0.6,120.6,254,2673,541,1.99,13.17,1.72,5.66,Groundnut
12.93,78.35,8.13,0.31,39.2,151,3157,556,1.43,12.31,1.93,11.65,Groundnut
12.93,78.35,8.02,0.47,36.0,54,2445,440,1.13,2.15,0.79,3.36,Potato
12.94,78.36,8.1,0.14,26.2,124,2539,449,2.23,6.59,1.45,5.83,Groundnut
12.93,78.37,7.8,0.85,84.6,77,1465,326,0.1,0.12,0.15,0.08,Groundnut
12.94,78.36,6.74,0.11,26.2,135,1116,356,1.32,11.5,1.34,17.7,Groundnut
12.93,78.36,8.34,0.17,43.8,44,1272,291,1.7,28.3,1.01,8.64,Banana
12.93,78.35,8.0,0.31,71.8,151,1745,488,1.77,3.67,1.29,8.0,Potato
12.93,78.35,8.13,0.48,57.8,176,2614,580,1.94,6.54,1.3,5.57,Groundnut
12.93,78.37,8.11,0.28,69.6,182,1505,406,2.64,5.44,1.08,6.2,Potato
12.93,78.36,8.18,0.48,85.4,178,2364,343,2.12,9.17,1.54,5.55,Mulbarry
12.93,78.36,8.33,0.26,91.8,118,1786,415,1.6,17.44,1.29,8.3,Potato
12.93,78.35,7.9,0.78,65.2,104,1810,471,1.95,5.23,1.46,6.77,Groundnut
12.93,78.37,8.06,0.25,26.4,90,1352,385,1.25,3.88,1.11,5.68,Potato
12.93,78.36,7.85,0.5,72.0,129,1252,380,1.27,4.4,0.93,4.81,Groundnut
12.93,78.36,7.67,0.2,62.8,101,1066,305,2.13,8.98,1.14,6.01,Tomato
