Latitude,Longitude,Soil_type,Crop_type,pH,EC,OC,Avail_P,Exch_K,Avail_Ca,Avail_Mg,Avail_S,Avail_Zn,Avail_B,Avail_Fe,Avail_Cu,Avail_Mn
14.11,77.65,Redsoil,G.Nut,8.71,0.35,0.32,3.61,84,1524,542,14.71,0.36,0.86,2.59,0.62,5.99
14.11,77.65,Redsoil,G.Nut,7.48,1.59,0.36,7.67,117,1398,244,81.35,0.55,0.43,2.53,0.52,11.4
14.11,77.65,Redsoil,G.Nut,5.2,0.09,0.16,16.32,103,166,35,5.03,0.42,0.25,9.67,0.37,8.03
14.12,77.64,Redsoil,G.Nut,8.65,0.41,0.7,9.47,76,2380,711,26.26,1.06,1.11,7.15,0.79,3.53
14.12,77.64,Redsoil,G.Nut,8.05,0.11,0.19,3.62,53,2915,124,3.44,0.49,0.29,1.34,0.34,1.86
14.13,77.65,Redsoil,G.Nut,6.2,0.04,0.15,2.66,76,384,86,2.31,0.29,0.23,4.16,0.51,6.77
14.12,77.65,Redsoil,G.Nut,8.01,0.06,0.25,6.79,59,1150,158,2.3,0.28,0.36,4.18,0.48,3.67
14.12,77.65,Redsoil,G.Nut,8.5,0.16,0.39,7.22,70,1414,198,6.39,0.6,0.41,6.89,0.41,3.29
14.12,77.65,Redsoil,G.Nut,8.2,0.53,0.61,8.55,149,2693,590,38.65,0.58,0.91,7.88,1.0,4.36
14.12,77.64,Redsoil,G.Nut,8.82,0.8,0.47,6.75,106,2108,655,83.3,0.29,1.42,5.24,0.74,1.83
14.12,77.65,Redsoil,G.Nut,6.5,0.05,0.22,4.19,108,517,98,3.02,0.32,0.36,4.74,0.45,5.84
14.13,77.65,Redsoil,G.Nut,8.78,0.5,0.48,3.69,123,2244,607,30.73,0.31,1.33,5.39,0.84,1.82
14.13,77.65,Redsoil,G.Nut,8.81,0.52,0.5,4.01,129,2619,702,36.22,0.35,1.37,7.25,0.97,1.92
14.12,77.65,Redsoil,G.Nut,8.07,0.5,0.91,28.68,140,2129,355,18.47,2.85,1.22,2.33,0.52,4.47
14.12,77.65,Redsoil,G.Nut,8.25,0.24,0.66,6.31,116,2894,566,14.7,0.46,1.02,16.77,1.17,4.12
14.12,77.65,Redsoil,G.Nut,8.0,0.65,0.41,13.32,89,1740,201,62.96,0.51,0.88,2.88,0.4,8.17
14.12,77.65,Redsoil,G.Nut,8.32,0.15,0.49,9.39,145,3009,466,4.64,0.3,0.74,11.14,1.17,3.65
14.12,77.65,Redsoil,G.Nut,8.44,0.07,0.17,3.51,37,831,130,2.25,0.13,0.25,3.1,0.2,6.99
14.12,77.65,Redsoil,G.Nut,8.22,1.32,0.53,4.74,82,4097,1135,93.97,0.4,1.0,9.41,1.13,1.84
14.12,77.65,Redsoil,G.Nut,8.35,0.53,0.34,5.15,114,3283,354,40.19,0.5,0.59,27.92,1.87,7.33
14.12,77.64,Redsoil,G.Nut,8.19,1.61,0.5,132.06,193,3104,1179,181.16,0.67,0.94,19.59,1.73,9.52
14.12,77.65,Redsoil,G.Nut,8.15,0.07,0.18,10.31,83,489,63,5.13,0.44,0.29,6.94,0.55,14.91
14.12,77.65,Redsoil,G.Nut,6.0,0.08,0.08,3.54,43,536,114,4.03,0.19,0.28,6.59,0.47,11.16
14.11,77.65,Redsoil,G.Nut,8.63,0.17,0.13,2.35,57,3544,133,3.23,0.1,0.41,0.79,0.51,1.8
14.12,77.65,Redsoil,G.Nut,7.28,0.08,0.27,6.99,53,608,109,4.3,0.86,0.36,3.99,0.52,10.34
14.12,77.65,Redsoil,G.Nut,8.57,0.22,0.1,2.51,54,3030,118,2.8,0.12,0.32,0.97,0.55,2.45
14.12,77.64,Redsoil,G.Nut,8.21,0.12,0.25,7.72,60,926,79,4.69,1.2,0.26,2.75,0.4,7.82
14.11,77.65,Redsoil,G.Nut,8.32,0.1,0.15,2.48,114,3142,105,2.2,0.16,0.28,3.21,0.87,6.7
14.12,77.64,Redsoil,G.Nut,8.21,0.36,0.41,14.95,94,2992,84,30.1,1.13,0.89,2.81,0.55,9.52
14.12,77.64,Redsoil,G.Nut,8.2,0.12,0.3,15.16,183,1167,148,3.02,0.47,0.64,1.91,0.33,3.48
14.12,77.65,Redsoil,G.Nut,7.95,0.09,0.19,4.66,43,820,123,3.26,0.2,0.23,1.45,0.24,3.75
14.12,77.65,Redsoil,G.Nut,5.62,0.04,0.14,4.39,70,295,78,2.08,0.49,0.17,8.61,0.54,8.11
14.11,77.65,Redsoil,G.Nut,5.86,0.03,0.14,5.31,44,451,67,1.79,0.27,0.19,8.34,0.38,7.05
14.12,77.65,Redsoil,G.Nut,5.55,0.05,0.23,9.05,64,243,24,3.9,0.49,0.19,7.98,0.31,5.31
14.12,77.65,Redsoil,G.Nut,6.18,0.04,0.18,3.13,50,930,124,2.14,0.23,0.2,7.0,0.39,10.49
14.12,77.65,Redsoil,G.Nut,6.85,0.04,0.13,4.65,58,788,63,1.44,0.2,0.2,4.03,0.36,7.46
14.12,77.64,Redsoil,G.Nut,8.35,0.09,0.22,8.34,68,1498,190,2.45,0.27,0.36,2.53,0.52,4.17
14.12,77.64,Redsoil,G.Nut,8.4,0.15,0.44,11.41,206,2882,305,6.35,0.36,0.7,2.52,0.43,4.69
14.12,77.64,Redsoil,G.Nut,8.56,0.14,0.46,11.54,122,3000,532,3.7,0.43,0.87,7.85,0.89,2.08
14.12,77.64,Redsoil,G.Nut,8.5,0.14,0.22,3.56,67,2678,455,3.31,0.24,0.54,3.06,0.71,2.35
14.09,77.69,Redsoil,Horsegram,6.0,0.08,0.19,4.73,80,657,84,5.66,0.26,0.2,13.15,0.92,14.97
14.08,77.69,Redsoil,G.Nut,7.88,0.2,0.24,2.33,54,2052,92,5.77,0.15,0.41,3.95,0.35,3.42
14.08,77.69,Mixed soil,Horsegram,6.6,0.2,0.39,2.56,66,1050,239,12.03,0.41,0.33,5.79,0.47,27.19
14.08,77.69,Redsoil,G.Nut,6.16,0.12,0.73,1.51,62,939,357,3.83,0.24,0.46,11.47,1.31,14.53
14.08,77.6,Redsoil,G.Nut,8.2,0.23,0.35,2.61,50,3486,144,5.46,0.23,0.45,1.73,0.84,4.94
14.09,77.7,Redsoil,G.Nut,8.34,0.14,0.2,3.24,60,1528,96,2.01,0.27,0.25,2.34,0.54,2.3
14.08,77.6,Redsoil,G.Nut,6.02,0.05,0.15,1.28,27,727,157,3.11,0.14,0.24,6.65,0.31,16.95
14.09,77.7,Redsoil,Horsegram,7.82,0.22,0.43,3.38,63,2322,161,5.58,0.31,0.53,2.27,1.09,9.11
14.09,77.7,Redsoil,Horsegram,8.37,0.14,0.16,2.14,44,1650,63,2.06,0.14,0.25,1.49,0.4,3.66
14.08,77.69,Mixed soil,G.Nut,8.62,0.19,0.13,2.0,65,3913,335,3.65,0.17,0.35,1.26,0.6,2.85
14.08,77.69,Redsoil,Horsegram,8.2,0.13,0.17,3.99,50,1382,104,2.32,0.18,0.29,2.09,0.46,2.67
14.09,77.69,Redsoil,G.Nut,8.28,0.15,0.11,1.36,23,2474,52,3.31,0.11,0.21,2.01,0.33,1.63
14.09,77.69,Sandy soil,Horsegram,8.04,0.23,0.45,1.39,55,3003,187,6.66,0.14,0.33,2.93,0.49,6.1
14.09,77.69,Redsoil,G.Nut,7.27,0.3,0.45,1.18,56,1911,164,9.04,0.2,0.26,6.6,0.8,16.86
14.09,77.7,Redsoil,Horsegram,8.22,0.22,0.21,1.73,61,3204,202,4.96,0.26,0.27,2.66,0.66,6.66
14.09,77.69,Redsoil,Horsegram,7.33,0.27,0.29,3.13,53,2277,90,6.78,0.28,0.29,7.3,0.61,13.57
14.09,77.7,Redsoil,Horsegram,8.3,0.17,0.25,9.22,68,1964,59,2.02,0.46,0.33,3.19,0.53,6.69
14.09,77.69,Redsoil,G.Nut,5.8,0.06,0.1,6.04,43,462,38,3.97,0.22,0.18,9.72,0.42,13.9
14.09,77.69,Redsoil,G.Nut,7.28,0.12,0.19,13.05,62,705,65,3.56,0.45,0.23,4.4,0.44,8.16
14.09,77.7,Redsoil,Horsegram,6.37,0.1,0.13,1.58,60,742,268,3.23,0.29,0.24,4.02,0.7,9.92
14.09,77.69,Redsoil,G.Nut,6.3,0.09,0.14,1.38,69,655,240,2.54,0.24,0.21,4.49,0.56,8.19
14.08,77.69,Redsoil,Horsegram,8.54,0.15,0.06,2.02,49,3182,117,3.62,0.15,0.26,2.66,0.36,1.84
14.08,77.69,Redsoil,G.Nut,8.77,0.24,0.18,3.48,80,2964,157,5.72,0.23,0.52,2.89,0.61,4.28
14.08,77.69,Redsoil,G.Nut,8.48,0.18,0.33,1.66,29,3458,123,1.89,0.13,0.52,0.85,1.1,3.22
14.08,77.69,Redsoil,Horsegram,8.44,0.22,0.19,10.47,84,3151,167,12.71,0.21,0.38,2.21,0.78,8.64
14.09,77.7,Redsoil,Horsegram,6.55,0.11,0.23,1.42,62,766,290,3.22,0.4,0.27,4.82,0.76,10.21
14.08,77.69,Redsoil,Horsegram,5.35,0.1,0.26,7.03,41,676,88,12.81,0.3,0.26,15.81,0.65,16.98
14.08,77.69,Redsoil,G.Nut,8.42,0.16,0.08,1.56,87,2785,136,2.01,0.17,0.31,2.52,0.57,3.77
14.08,77.69,Redsoil,G.Nut,8.75,0.17,0.19,6.0,70,1145,154,4.25,0.34,0.4,8.94,0.56,3.19
14.09,77.69,Redsoil,G.Nut,8.8,0.24,0.2,3.84,61,2933,165,2.61,0.5,0.34,2.0,0.65,3.54
14.09,77.69,Redsoil,G.Nut,8.08,0.14,0.11,2.14,52,1069,70,1.73,0.13,0.21,1.68,0.45,8.18
14.09,77.69,Redsoil,G.Nut,7.91,0.12,0.18,2.49,26,1184,94,1.73,0.13,0.15,2.46,0.32,5.0
14.09,77.69,Redsoil,G.Nut,6.07,0.05,0.34,1.58,43,799,189,2.32,0.15,0.24,1.51,0.88,4.35
14.08,77.69,Redsoil,G.Nut,8.38,0.18,0.25,1.87,95,3371,194,3.01,0.24,0.34,7.87,0.47,18.04
14.09,77.69,Redsoil,G.Nut,8.0,0.2,0.19,5.33,68,1432,67,3.04,0.26,0.19,2.54,0.46,4.56
14.08,77.6,Redsoil,G.Nut,8.43,0.19,0.36,2.04,37,2630,86,2.12,0.16,0.39,1.16,1.15,3.65
14.08,77.69,Redsoil,G.Nut,8.3,0.16,0.2,1.27,55,2776,158,2.72,0.16,0.3,1.67,0.94,4.11
14.08,77.69,Redsoil,G.Nut,8.5,0.2,0.08,1.58,56,2548,150,3.81,0.15,0.28,1.38,0.47,8.08
14.1,77.7,Redsoil,G.Nut,6.55,0.09,0.27,2.46,35,865,86,3.11,0.36,0.24,9.21,0.69,17.83
14.06,77.55,RED,jowar,8.65,0.16,0.29,6.62,94,2298,373,6.34,0.18,0.77,7.82,0.5,3.48
14.06,77.55,RED,cotton,8.7,0.24,0.21,17.71,188,1057,283,24.67,0.16,0.95,2.86,0.52,7.98
14.06,77.54,RED,G.Nut,6.52,0.06,0.22,8.95,102,371,71,3.21,0.42,0.3,5.92,0.5,9.54
14.06,77.54,RED,groundnut,8.05,1.45,0.54,23.79,282,2113,412,68.49,4.7,1.4,6.46,0.74,8.92
14.06,77.55,RED,G.Nut,8.37,0.16,0.42,15.45,178,1586,460,5.37,0.56,0.8,4.56,0.92,9.3
14.06,77.55,RED,groundnut,8.76,0.11,0.35,13.78,176,2209,419,2.98,0.24,1.07,4.1,0.58,3.92
14.06,77.54,RED,groundnut,5.53,0.07,0.17,14.71,59,446,81,4.99,0.18,0.28,16.5,0.76,22.0
14.55,77.55,RED,G.Nut,8.73,0.36,0.75,25.12,207,2695,503,15.07,0.54,1.68,10.31,1.92,4.59
14.53,77.54,RED,GROUND NUT,8.61,0.2,0.52,3.47,125,2057,256,6.12,0.55,0.85,5.29,0.67,10.45
14.54,77.55,BLACK,SUNFLOWER,8.32,0.14,0.14,2.34,116,939,165,4.48,0.19,0.32,8.02,1.05,12.62
14.53,77.54,RED,GROUND NUT,5.95,0.05,0.17,11.11,63,268,19,2.8,0.39,0.28,14.84,0.35,9.98
14.54,77.54,BLACK,PADDY,8.15,0.11,0.46,4.27,140,2469,254,4.65,0.37,1.06,4.17,0.66,6.5
14.54,77.53,BLACK,TAMATO,7.0,0.04,0.19,1.31,90,1404,140,2.71,0.27,0.39,11.95,1.53,21.7
14.54,77.53,BLACK,groundnut,6.23,0.04,0.19,2.92,74,358,66,2.91,0.47,0.37,17.64,0.59,17.53
14.53,77.54,RED,GROUND NUT,7.43,0.1,0.1,2.59,85,1328,144,4.39,0.26,0.17,5.9,0.62,7.64
14.53,77.53,RED,GROUND NUT,8.68,0.62,0.32,10.64,29,2709,327,23.5,3.39,0.72,3.18,0.57,7.49
14.54,77.53,BLACK,PADDY,6.65,0.06,0.44,1.38,140,962,204,3.11,0.21,0.48,8.1,0.24,17.1
14.54,77.54,BLACK,GROUND NUT,8.21,0.08,0.21,6.15,28,1624,60,2.28,0.42,0.41,3.24,0.74,10.27
14.53,77.53,RED,GROUND NUT,7.0,0.13,0.57,1.71,131,709,130,6.88,0.61,0.4,7.93,0.25,16.82
14.53,77.54,RED,GROUND NUT,6.27,0.09,0.31,21.06,126,1046,157,2.84,0.59,0.33,22.67,1.74,22.35
14.54,77.54,BLACK,TAMATO,8.05,0.13,0.33,3.08,130,2723,322,3.33,0.32,0.62,6.56,0.91,8.96
14.53,77.54,RED,GROUND NUT,7.43,0.11,0.21,1.95,66,1057,103,8.03,0.32,0.47,3.71,0.45,12.29
14.54,77.54,RED,GROUND NUT,7.72,0.07,0.36,12.31,96,652,39,4.1,1.03,0.61,3.08,0.4,4.11
14.53,77.54,RED,GROUND NUT,8.25,0.08,0.38,6.87,129,2928,185,3.34,0.39,0.83,2.54,0.65,4.48
14.54,77.53,RED,GROUND NUT,6.85,0.07,0.15,2.25,85,726,92,3.64,0.31,0.31,8.11,0.71,16.43
14.53,77.54,RED,GROUND NUT,8.75,0.16,0.32,5.47,95,2308,156,3.09,0.6,0.61,11.08,0.6,10.71
14.53,77.54,RED,GROUND NUT,8.8,0.24,0.28,7.05,107,1443,294,10.11,1.63,0.85,4.83,0.66,11.55
14.53,77.53,BLACK,TAMATO,8.35,0.07,0.19,2.49,76,2449,37,1.42,0.17,0.48,2.01,0.52,2.95
14.53,77.53,RED,GROUND NUT,8.28,0.07,0.14,1.66,69,1977,83,1.47,0.19,0.5,1.61,0.55,2.95
14.47,77.57,RED,groundnut,8.6,0.16,0.46,9.59,98,1159,310,5.81,0.34,0.9,3.26,0.82,7.34
14.47,77.58,RED,groundnut,8.49,0.15,0.29,12.82,130,2223,369,4.39,0.64,0.87,7.94,1.96,4.58
14.46,77.58,RED,groundnut,8.51,0.12,0.16,6.76,70,839,238,5.4,0.3,0.63,3.18,0.94,6.98
14.48,77.58,RED,groundnut,8.54,0.07,0.3,4.36,75,2698,59,1.67,0.08,0.31,4.22,0.66,5.72
14.47,77.58,RED,groundnut,6.84,0.05,0.32,4.83,95,924,265,4.07,0.32,0.54,8.1,2.38,20.58
14.47,77.58,RED,groundnut,8.52,0.18,0.31,7.97,100,1715,286,8.28,0.34,0.75,9.74,1.18,8.8
14.47,77.58,RED,groundnut,7.74,0.09,0.33,12.96,123,1162,261,3.17,0.42,0.55,2.02,0.7,6.4
14.46,77.58,RED,groundnut,8.47,0.18,0.41,10.95,210,1118,247,5.29,0.52,0.94,5.28,0.76,7.36
14.46,77.59,RED,groundnut,8.05,0.11,0.28,7.09,80,690,202,2.96,0.58,1.04,2.24,0.4,7.44
14.46,77.58,RED,groundnut,8.65,0.13,0.29,13.4,106,1403,345,2.84,0.38,0.82,2.8,0.98,6.9
14.48,77.58,RED,groundnut,7.35,0.06,0.38,7.27,154,1177,204,2.44,0.36,0.38,4.94,0.78,9.74
14.46,77.58,RED,groundnut,6.02,0.03,0.18,5.25,78,269,51,2.1,0.4,0.43,9.16,0.98,20.6
14.46,77.59,RED,groundnut,8.65,0.17,0.37,15.31,69,1149,297,6.56,0.22,0.78,0.8,0.4,4.24
14.46,77.58,RED,groundnut,6.6,0.05,0.42,3.34,130,2111,537,3.54,0.22,0.81,9.22,1.22,16.64
14.48,77.58,RED,groundnut,8.23,0.11,0.49,7.44,119,2194,497,5.34,0.18,1.08,5.04,1.78,4.54
14.47,77.58,RED,groundnut,8.16,0.21,0.74,9.33,149,3220,619,9.51,0.64,1.23,18.06,3.06,4.64
14.48,77.58,RED,groundnut,6.86,0.05,0.3,5.02,81,486,245,4.27,0.4,0.54,7.04,1.68,21.58
14.45,77.58,RED,groundnut,8.16,0.16,0.67,13.84,144,2270,545,6.46,0.42,1.44,12.48,1.64,11.0
14.46,77.58,BLACK,groundnut,6.16,0.09,0.19,14.78,105,447,133,4.21,0.32,0.66,8.2,1.1,8.46
14.47,77.58,RED,groundnut,8.63,0.2,0.35,13.72,258,1167,219,9.33,0.46,1.04,2.08,0.66,3.72
14.47,77.58,RED,groundnut,7.9,0.05,0.21,6.54,93,701,66,1.95,0.3,0.36,4.68,0.4,5.56
14.45,77.57,RED,groundnut,7.79,0.08,0.3,9.86,125,696,193,2.91,1.0,0.48,3.04,0.98,10.34
14.45,77.57,RED,groundnut,8.4,1.03,0.4,20.36,137,2248,589,30.49,0.4,1.58,9.04,1.06,3.88
14.46,77.58,RED,groundnut,8.57,0.18,0.27,11.21,117,1866,310,4.47,0.38,0.72,9.1,1.06,3.84
14.48,77.58,RED,groundnut,8.33,0.98,0.74,27.61,166,2254,663,61.29,1.52,2.02,12.24,1.24,5.72
14.47,77.58,RED,groundnut,8.82,0.5,0.58,26.25,188,2960,445,48.5,2.0,1.28,6.44,0.86,4.44
14.47,77.58,RED,groundnut,8.58,0.82,0.66,89.47,259,2465,430,61.35,0.86,1.54,7.94,0.8,8.08
14.47,77.57,RED,groundnut,8.3,0.12,0.64,31.38,194,2183,510,4.59,2.24,1.35,7.16,1.82,7.2
14.47,77.58,RED,groundnut,8.61,0.21,0.74,17.88,144,2794,735,6.35,0.36,1.64,18.4,1.36,4.3
14.46,77.58,RED,groundnut,8.62,0.4,0.45,13.27,110,2148,481,32.68,0.32,1.0,16.06,1.24,4.72
14.48,77.58,RED,groundnut,7.9,2.32,0.91,39.84,272,2561,568,118.07,1.9,1.98,13.64,2.2,18.88
14.47,77.58,RED,groundnut,8.0,0.34,0.35,19.96,100,1263,294,16.29,0.94,0.93,6.12,1.08,9.0
14.47,77.58,RED,groundnut,8.79,0.27,0.21,8.03,97,1302,320,19.33,16.34,0.7,5.2,1.04,9.64
14.47,77.58,RED,groundnut,8.7,0.39,0.25,8.2,82,1640,337,25.96,0.72,0.63,9.6,0.98,6.74
14.46,77.58,RED,groundnut,8.38,0.09,0.3,10.02,130,2111,157,2.29,0.26,0.45,4.7,0.62,5.28
14.46,77.59,RED,groundnut,8.26,0.14,0.4,11.43,133,1902,338,4.65,0.7,0.88,2.76,0.9,9.9
14.46,77.58,RED,groundnut,8.48,0.41,0.58,11.66,188,2405,613,19.22,0.38,1.14,11.74,1.36,13.52
14.48,77.58,RED,groundnut,8.42,0.39,0.38,17.06,120,1822,364,24.4,0.26,0.85,6.32,0.76,5.62
14.46,77.58,RED,groundnut,7.8,0.05,0.16,8.16,71,816,98,1.99,0.2,0.35,4.06,0.42,7.42
14.46,77.59,RED,groundnut,8.49,0.13,0.28,8.74,86,1106,339,5.83,0.42,0.81,9.22,0.82,6.02
14.46,77.58,RED,groundnut,8.79,0.21,0.78,12.77,194,2516,453,7.47,0.44,2.04,4.44,4.06,9.68
14.48,77.58,RED,groundnut,8.81,0.76,0.43,32.6,135,1400,367,36.07,0.66,1.5,2.7,0.72,5.48
14.48,77.58,RED,groundnut,8.65,0.41,0.43,12.57,149,2472,647,26.28,0.9,1.88,8.1,1.34,4.08
14.47,77.58,RED,groundnut,6.8,0.05,0.2,11.09,102,684,143,2.19,0.42,0.31,7.16,0.82,11.28
14.47,77.58,RED,groundnut,6.62,0.07,0.18,8.71,71,679,174,4.3,0.2,0.35,7.52,0.66,11.5
14.52,77.65,RED,groundnut,5.89,0.04,0.19,11.61,50,803,109,2.92,0.2,0.25,15.1,0.86,19.08
14.53,77.65,RED,groundnut,8.27,0.09,0.28,5.16,61,1414,184,3.29,0.18,0.34,2.54,0.46,7.28
14.53,77.65,RED,groundnut,7.98,0.1,0.21,5.49,69,1265,178,3.1,0.24,0.27,2.8,0.48,10.16
14.05,77.65,red,groundnut,8.14,0.18,0.4,9.62,86,1683,233,10.81,0.7,0.64,1.24,0.44,7.82
14.53,77.65,SAND,groundnut,8.05,0.23,0.89,38.28,428,2791,465,13.43,0.66,1.24,3.56,0.88,6.86
14.52,77.65,RED,groundnut,5.67,0.03,0.14,15.3,61,284,21,1.98,0.36,0.27,32.72,0.58,9.8
14.52,77.65,RED,groundnut,6.2,0.04,0.18,18.64,59,416,84,3.21,0.4,0.36,9.02,0.36,14.0
14.53,77.65,RED,groundnut,5.83,0.05,0.31,13.66,67,396,46,3.08,0.72,0.37,14.24,1.0,21.04
14.52,77.65,RED,groundnut,7.56,0.06,0.26,8.88,74,821,177,2.61,0.28,0.45,2.4,0.36,6.14
14.52,77.65,SAND,groundnut,8.18,0.24,0.66,25.49,263,3259,713,18.74,0.42,1.64,13.94,2.1,9.1
14.53,77.65,SAND,groundnut,8.0,0.11,0.28,7.92,94,1745,191,3.65,0.3,0.54,5.34,0.9,14.92
14.52,77.65,RED,groundnut,8.52,0.19,0.35,10.03,102,1180,318,6.64,0.34,0.69,4.06,0.8,10.22
14.53,77.65,RED,groundnut,8.25,0.16,0.36,10.5,110,1840,373,7.35,0.62,0.67,3.56,0.66,14.18
14.58,77.61,RED,groundnut,7.17,0.06,0.22,8.66,69,673,94,2.96,0.5,0.42,5.0,0.66,10.18
14.56,77.6,RED,groundnut,6.88,0.11,0.53,4.2,56,1628,244,7.13,0.14,0.58,7.96,1.54,17.58
14.56,77.61,RED,groundnut,8.25,0.21,0.6,10.58,120,3118,166,9.56,0.28,0.67,2.26,0.56,7.6
14.57,77.61,RED,groundnut,8.53,0.14,0.52,11.03,104,2288,413,10.36,0.38,1.11,7.5,0.9,7.98
14.57,77.6,RED,groundnut,6.35,0.06,0.44,3.74,97,1696,553,5.24,0.48,0.57,14.12,2.26,4.92
14.58,77.61,RED,groundnut,7.9,0.08,0.21,5.59,78,1192,108,4.22,0.38,0.53,3.2,0.6,8.86
14.45,77.57,RED,groundnut,8.6,0.2,0.54,5.45,87,3010,418,6.56,0.22,0.86,3.14,1.18,9.74
14.45,77.57,RED,groundnut,7.91,0.09,0.36,5.97,92,865,243,4.12,0.3,0.44,5.5,1.68,16.26
14.46,77.58,RED,groundnut,6.23,0.05,0.29,5.28,96,696,160,2.42,0.26,0.48,11.22,1.86,18.06
